id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
689,송원산업,4430,"기타 화학제품 제조업","폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조",1977-06-25,12월,"김충식 대표이사",http://www.songwon.com,울산광역시
690,진흥기업,2780,"토목 건설업","아파트건설,토목공사,건축공사,국내도급공사",1977-06-25,12월,박상신,http://www.chinhung.co.kr,인천광역시
691,한국석유공업,4090,"기타 비금속 광물제품 제조업","석유류제품(솔벤트,부로운아스팔트,방수시트몰터프라스,메타놀,빙초산) 제조,도소매/부동산 임대",1977-06-25,12월,"강승모,김득보(각자 대표이사)",http://www.koreapetroleum.com,서울특별시
692,천일고속,650,"육상 여객 운송업","고속버스운수(경부선,44개 노선),도로여객운수업,운수창고업,유류판매,부동산 임대",1977-06-23,12월,박도현,http://www.chunilexpress.com,부산광역시
693,대원강업,430,"자동차 신품 부품 제조업","차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매",1977-06-22,12월,김항수,http://www.dwku.com,충청남도
694,만호제강,1080,"1차 철강 제조업","와이어로프,합성섬유로프,특수강선 제조,수출,임대",1977-06-18,06월,김상환,http://www.manhorope.com,부산광역시
695,조광피혁,4700,"가죽, 가방 및 유사제품 제조업","가죽(피혁원단,제화용원단,카시트용원단),가방,신발 제조,도매",1977-05-27,12월,이연석,http://www.chokwang.co.kr,충청북도
696,세방,4360,"도로 화물 운송업","도로운송,항만하역,창고,지게차 임대",1977-05-19,12월,최종일,http://www.sebang.com,부산광역시
697,동양철관,8970,"1차 철강 제조업","수도용 도복장 강관,주물(강관말뚝),가스관 제조/아파트건설",1977-03-05,12월,이곽우,http://www.dysp.co.kr,충청남도
698,대유에이텍,2880,"자동차 신품 부품 제조업","자동차부품(자동차용 시트)제조",1977-02-18,12월,권의경,http://www.dayouat.co.kr,광주광역시
699,남광토건,1260,"토목 건설업","토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조",1976-12-28,12월,임민규,http://www.namkwang.co.kr,경기도
700,삼영전자공업,5680,"전자부품 제조업","전자부품(알루미늄 전해콘덴서),전기이중층콘덴서,센서 제조,도매",1976-12-28,12월,"변동준, 김성수(각자 대표이사)",http://www.samyoung.co.kr,경기도
701,신영와코루,5800,"봉제의복 제조업","여성용 내의류(화운데이션,란제리,블래지어),환자,노령자용 파자마,남성용 내의류 제조",1976-12-28,12월,"이의평, 이성원",http://www.shinyoungwacoal.co.kr/,서울특별시
